antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({1357}),frozenset({512}),0.73888,0.75308,0.56616,0.766240796881767,1.0174759612282454,0.009724249600000068,1.056300657711904
"frozenset({0, 1357})",frozenset({1397}),0.73888,0.96968,0.73822,0.9991067561715028,1.0303468733721464,0.021742841600000062,33.94369939393871
"frozenset({0, 1397})",frozenset({1357}),0.96968,0.73888,0.73822,0.7613026977972115,1.0303468733721464,0.021742841600000062,1.0939377931392036
"frozenset({1397, 1357})",frozenset({0}),0.73822,1.0,0.73822,1.0,1.0,0.0,inf
frozenset({0}),"frozenset({1397, 1357})",1.0,0.73822,0.73822,0.73822,1.0,0.0,1.0
frozenset({1357}),"frozenset({0, 1397})",0.73888,0.96968,0.73822,0.9991067561715028,1.0303468733721464,0.021742841600000062,33.94369939393871
frozenset({1397}),"frozenset({0, 1357})",0.96968,0.73888,0.73822,0.7613026977972115,1.0303468733721464,0.021742841600000062,1.0939377931392036
"frozenset({0, 1357})",frozenset({502}),0.73888,0.797,0.58056,0.7857297531398874,0.985859163287186,-0.008327360000000006,0.9474017180394134
"frozenset({0, 502})",frozenset({1357}),0.797,0.73888,0.58056,0.728431618569636,0.985859163287186,-0.008327360000000006,0.9615257808168541
"frozenset({1357, 502})",frozenset({0}),0.58056,1.0,0.58056,1.0,1.0,0.0,inf
frozenset({0}),"frozenset({1357, 502})",1.0,0.58056,0.58056,0.58056,1.0,0.0,1.0
frozenset({1357}),"frozenset({0, 502})",0.73888,0.797,0.58056,0.7857297531398874,0.985859163287186,-0.008327360000000006,0.9474017180394134
frozenset({502}),"frozenset({0, 1357})",0.797,0.73888,0.58056,0.728431618569636,0.985859163287186,-0.008327360000000006,0.9615257808168541
"frozenset({1397, 1357})",frozenset({502}),0.73822,0.797,0.58018,0.785917477174826,0.9860947015995306,-0.008181340000000037,0.9482324727916982
"frozenset({1357, 502})",frozenset({1397}),0.58056,0.96968,0.58018,0.9993454595562906,1.0305930405456343,0.017222579200000032,46.322576842115055
"frozenset({1397, 502})",frozenset({1357}),0.7715,0.73888,0.58018,0.7520155541153598,1.0177776555264182,0.010134080000000045,1.0529692661509518
frozenset({1357}),"frozenset({1397, 502})",0.73888,0.7715,0.58018,0.7852154612386315,1.017777655526418,0.010134080000000045,1.0638568367989922
frozenset({1397}),"frozenset({1357, 502})",0.96968,0.58056,0.58018,0.5983210956191733,1.0305930405456343,0.017222579200000032,1.0442171481386393
frozenset({502}),"frozenset({1397, 1357})",0.797,0.73822,0.58018,0.7279548306148055,0.9860947015995306,-0.008181340000000037,0.9622666728161607
"frozenset({0, 1397, 1357})",frozenset({502}),0.73822,0.797,0.58018,0.785917477174826,0.9860947015995306,-0.008181340000000037,0.9482324727916982
"frozenset({0, 1357, 502})",frozenset({1397}),0.58056,0.96968,0.58018,0.9993454595562906,1.0305930405456343,0.017222579200000032,46.322576842115055
"frozenset({0, 1397, 502})",frozenset({1357}),0.7715,0.73888,0.58018,0.7520155541153598,1.0177776555264182,0.010134080000000045,1.0529692661509518
"frozenset({1397, 1357, 502})",frozenset({0}),0.58018,1.0,0.58018,1.0,1.0,0.0,inf
"frozenset({0, 1357})","frozenset({1397, 502})",0.73888,0.7715,0.58018,0.7852154612386315,1.017777655526418,0.010134080000000045,1.0638568367989922
"frozenset({0, 1397})","frozenset({1357, 502})",0.96968,0.58056,0.58018,0.5983210956191733,1.0305930405456343,0.017222579200000032,1.0442171481386393
"frozenset({0, 502})","frozenset({1397, 1357})",0.797,0.73822,0.58018,0.7279548306148055,0.9860947015995306,-0.008181340000000037,0.9622666728161607
"frozenset({1397, 1357})","frozenset({0, 502})",0.73822,0.797,0.58018,0.785917477174826,0.9860947015995306,-0.008181340000000037,0.9482324727916982
"frozenset({1357, 502})","frozenset({0, 1397})",0.58056,0.96968,0.58018,0.9993454595562906,1.0305930405456343,0.017222579200000032,46.322576842115055
"frozenset({1397, 502})","frozenset({0, 1357})",0.7715,0.73888,0.58018,0.7520155541153598,1.0177776555264182,0.010134080000000045,1.0529692661509518
frozenset({0}),"frozenset({1397, 1357, 502})",1.0,0.58018,0.58018,0.58018,1.0,0.0,1.0
frozenset({1357}),"frozenset({0, 1397, 502})",0.73888,0.7715,0.58018,0.7852154612386315,1.017777655526418,0.010134080000000045,1.0638568367989922
frozenset({1397}),"frozenset({0, 1357, 502})",0.96968,0.58056,0.58018,0.5983210956191733,1.0305930405456343,0.017222579200000032,1.0442171481386393
frozenset({502}),"frozenset({0, 1397, 1357})",0.797,0.73822,0.58018,0.7279548306148055,0.9860947015995306,-0.008181340000000037,0.9622666728161607
"frozenset({0, 1357})",frozenset({495}),0.73888,0.73918,0.549,0.7430164573408403,1.0051901530626375,0.0028346816000001107,1.0149288055614079
"frozenset({0, 495})",frozenset({1357}),0.73918,0.73888,0.549,0.7427149002949215,1.0051901530626375,0.0028346816000001107,1.0149052560731942
"frozenset({1357, 495})",frozenset({0}),0.549,1.0,0.549,1.0,1.0,0.0,inf
frozenset({0}),"frozenset({1357, 495})",1.0,0.549,0.549,0.549,1.0,0.0,1.0
frozenset({1357}),"frozenset({0, 495})",0.73888,0.73918,0.549,0.7430164573408403,1.0051901530626375,0.0028346816000001107,1.0149288055614079
frozenset({495}),"frozenset({0, 1357})",0.73918,0.73888,0.549,0.7427149002949215,1.0051901530626375,0.0028346816000001107,1.0149052560731942
"frozenset({1397, 1357})",frozenset({495}),0.73822,0.73918,0.54848,0.7429763485139931,1.0051358918179512,0.002802540400000053,1.0147704247918203
"frozenset({1357, 495})",frozenset({1397}),0.549,0.96968,0.54848,0.9990528233151182,1.0302912541406632,0.01612567999999992,32.010923076917905
"frozenset({1397, 495})",frozenset({1357}),0.71756,0.73888,0.54848,0.764368136462456,1.0344956372651257,0.018289267200000014,1.108169311568488
frozenset({1357}),"frozenset({1397, 495})",0.73888,0.71756,0.54848,0.7423126894759636,1.0344956372651257,0.018289267200000014,1.0960570756302521
frozenset({1397}),"frozenset({1357, 495})",0.96968,0.549,0.54848,0.5656298985232241,1.030291254140663,0.01612567999999992,1.0382850902184233
frozenset({495}),"frozenset({1397, 1357})",0.73918,0.73822,0.54848,0.7420114180578479,1.0051358918179512,0.002802540400000053,1.014696069218668
